,Temp,Irradiance,Time,Monat,Wochentag,TagArt,Verbrauch,WW,Heiz
8318,0.13,22.0,14,12,5,1,0.8602772731434278,0.42177914110429443,0.5284299582322123
8319,-0.23,0.0,15,12,5,1,0.7971576242969287,0.36426380368098155,0.5374023508702491
8320,-0.37,0.0,16,12,5,1,0.7666860675490188,0.3834355828220859,0.5344115533242368
8321,-0.92,0.0,17,12,5,1,0.8809543805954552,0.42177914110429443,0.5284299582322123
8322,-1.53,0.0,18,12,5,1,1.1165647943581996,0.460122699386503,0.5224483631401877
8323,-1.78,0.0,19,12,5,1,1.1600955943803983,0.460122699386503,0.5224483631401877
8324,-2.02,0.0,20,12,5,1,1.0496362267955932,0.42177914110429443,0.5284299582322123
8325,-2.08,0.0,21,12,5,1,0.7721274286966473,0.34509202453987725,0.5403931484162614
8326,-2.11,0.0,22,12,5,1,0.6861541053648742,0.28757668711656437,0.5493655410542981
8327,-2.13,0.0,23,12,5,1,0.6170489771180436,0.19171779141104295,0.5643195287843595
8328,-2.14,0.0,0,12,6,2,0.47743803337629653,0.16104294478527606,0.5691048048579792
8329,-2.24,0.0,1,12,6,2,0.3459380521181822,0.0920245398773006,0.5798716760236233
8330,-2.26,0.0,2,12,6,2,0.2580894277970388,0.0460122699386503,0.5870495901340528
8331,-2.3,0.0,3,12,6,2,0.23135288892862332,0.0460122699386503,0.5870495901340528
8332,-2.38,0.0,4,12,6,2,0.21443793696076346,0.0460122699386503,0.5870495901340528
8333,-2.42,0.0,5,12,6,2,0.20898149997559326,0.0460122699386503,0.5870495901340528
8334,-2.57,0.0,6,12,6,2,0.21662050960044316,0.0920245398773006,0.5798716760236233
8335,-2.43,0.0,7,12,6,2,0.2400831831688919,0.1380368098159509,0.5726937619131939
8336,-2.32,38.0,8,12,6,2,0.3743114976612016,0.41411042944785265,0.5296262772506172
8337,-2.12,44.0,9,12,6,2,0.6651395345520121,0.6901840490797545,0.4865587925880405
8338,-1.8900000000000001,47.0,10,12,6,2,0.887216486864481,0.7822085889570551,0.4722029643671816
8339,-1.59,45.0,11,12,6,2,1.054729074233981,0.8282208588957053,0.4650250502567522
8340,-1.32,44.0,12,12,6,2,1.1556731496648156,0.7131901840490796,0.4829698355328258
8341,-1.4,37.0,13,12,6,2,1.0345402841005402,0.5981595092024539,0.5009146208088995
8342,-1.45,19.0,14,12,6,2,0.80209610946567,0.5061349693251533,0.5152704490297583
8343,-1.53,0.0,15,12,6,2,0.6656852018806262,0.43711656441717783,0.5260373201954025
8344,-2.5,0.0,16,12,6,2,0.5909320264875154,0.460122699386503,0.5224483631401877
8345,-1.84,0.0,17,12,6,2,0.6160316203659386,0.5061349693251533,0.5152704490297583
8346,-1.18,0.0,18,12,6,2,0.80100479867034,0.5521472392638036,0.5080925349193288
8347,-1.74,0.0,19,12,6,2,0.9357787712192108,0.5521472392638036,0.5080925349193288
8348,-1.6400000000000001,0.0,20,12,6,2,0.9434177967974423,0.5061349693251533,0.5152704490297583
8349,-1.62,0.0,21,12,6,2,0.7715400627850487,0.41411042944785265,0.5296262772506172
8350,-1.86,0.0,22,12,6,2,0.6809632234483383,0.34509202453987725,0.5403931484162614
8351,-2.14,0.0,23,12,6,2,0.524909156788384,0.2300613496932515,0.558337933692335
8352,-2.64,0.0,0,12,0,0,0.36986129601621454,0.11503067484662576,0.5762827189684087
8353,-3.0,0.0,1,12,0,0,0.2527750960030531,0.05751533742331288,0.5852551116064454
8354,-2.91,0.0,2,12,0,0,0.2194000257822091,0.01917177914110429,0.59123670669847
8355,-3.12,0.0,3,12,0,0,0.21228730620862601,0.01917177914110429,0.59123670669847
8356,-2.78,0.0,4,12,0,0,0.21009877673735716,0.05751533742331288,0.5852551116064454
8357,-2.45,0.0,5,12,0,0,0.2237770814433299,0.19171779141104295,0.5643195287843595
8358,-2.4,0.0,6,12,0,0,0.3720499006865976,0.5559815950920245,0.5074943754101264
8359,-3.88,0.0,7,12,0,0,0.6653127795578271,0.5943251533742331,0.5015127803181019
8360,-4.66,41.0,8,12,0,0,0.7408170403924166,0.5368098159509203,0.5104851729561387
8361,-3.94,50.0,9,12,0,0,0.6986878638128731,0.40260736196319014,0.5314207557782246
8362,-2.65,61.0,10,12,0,0,0.6417861099119602,0.36426380368098155,0.5374023508702491
8363,-1.31,60.0,11,12,0,0,0.6352205199977354,0.325920245398773,0.5433839459622737
8364,-0.5,52.0,12,12,0,0,0.6861038127713183,0.325920245398773,0.5433839459622737
8365,-0.32,45.0,13,12,0,0,0.734251455439951,0.30674846625766866,0.546374743508286
8366,-0.74,27.0,14,12,0,0,0.6576529474623629,0.2684049079754601,0.5523563386003104
8367,-1.32,0.0,15,12,0,0,0.5903556813784732,0.2300613496932515,0.558337933692335
8368,-2.42,0.0,16,12,0,0,0.5591691409437662,0.28757668711656437,0.5493655410542981
8369,-3.77,0.0,17,12,0,0,0.6346733801756944,0.40260736196319014,0.5314207557782246
8370,-4.9,0.0,18,12,0,0,0.8338295069139374,0.42177914110429443,0.5284299582322123
8371,-4.86,0.0,19,12,0,0,1.0105532237280765,0.5559815950920245,0.5074943754101264
8372,-6.22,0.0,20,12,0,0,0.9886679502078713,0.5943251533742331,0.5015127803181019
8373,-6.65,0.0,21,12,0,0,0.8146799016832,0.5368098159509203,0.5104851729561387
8374,-7.24,0.0,22,12,0,0,0.695952206421828,0.30674846625766866,0.546374743508286
8375,-7.53,0.0,23,12,0,0,0.5361895974473692,0.19171779141104295,0.5643195287843595
8376,-8.03,0.0,0,12,1,0,0.37085361567105957,0.11503067484662576,0.5762827189684087
8377,-8.21,0.0,1,12,1,0,0.25345327912950705,0.05751533742331288,0.5852551116064454
